Age,Screen_Time_Hours,Social_Media_Hours,Sleep_Hours,Study_Work_Hours,Physical_Activity_Min,App_Unlocks_Per_Day,Mood_Score,Addiction_Risk
21,4.452074402442138,3.298626082503253,6.395866288961489,5.401343086309094,121,200,3,Low
34,8.434305961832518,9.872822138500933,4.582005451924637,8.078400236668664,158,133,4,Medium
43,12.625937613142426,0.7049508758600092,5.237434162080757,11.413507232198668,13,135,7,Medium
29,7.177570352940343,6.89247627594233,6.8918973515928945,4.141652846181264,150,67,2,Medium
25,13.2865275954531,6.280880471489283,7.2082776730374905,10.57298962083147,37,157,3,High
22,3.7879569812141005,6.64249366434926,8.317993337376315,11.531526051089116,135,175,5,Medium
43,1.9640683750623995,2.573715952822044,8.453012233914984,10.53750147780053,128,31,3,Low
35,12.588900350881742,,8.167671073499976,10.19171328932409,127,34,3,Medium
21,12.019855573508817,4.591099780651334,6.890945557349244,4.646143662623349,167,85,9,Medium
40,13.903668387139982,1.4106491671360852,5.699114218915703,6.070996598985891,13,101,10,High
33,,1.2088254856799319,7.075832906265525,9.603340337260827,155,136,10,Medium
37,,1.3394148081179234,6.999392744156832,3.1816541997185928,76,144,3,Medium
25,11.75033732609344,5.943302127409448,4.307897527833529,10.883725313109966,71,209,10,High
25,11.977542330561128,4.278547640529991,,4.102569671838072,178,63,3,Medium
38,8.398840415905488,3.289359416244099,4.249288583624443,7.648066805537417,134,190,3,Medium
35,5.970739772917241,3.500284106687403,8.394742685912117,3.0505950625502414,130,42,9,Low
18,13.149254943062664,2.4691914055662005,4.939487451603934,3.851899466499609,90,157,5,High
22,6.617523283006628,4.409300685558382,7.832555934354692,7.855000615955989,18,25,10,Medium
38,8.004651774245698,2.42905165739969,5.263362389148176,8.346421614802832,109,142,4,Medium
17,6.7994859926274405,7.131437401843659,7.582416849364579,4.697515189308998,20,164,7,Medium
36,8.342638081482562,1.6773588702123932,4.325474729128771,3.190973149320924,43,196,5,Medium
35,7.116566026900253,9.50829980351804,7.582459305189343,7.495559286709289,64,205,6,Medium
16,1.6235782615331864,1.353279931209181,4.077192206967812,10.406378394583061,93,68,7,Low
38,12.466626418100082,9.462876785658821,5.944905241588993,4.014455915668791,147,214,2,High
26,6.777119645905008,8.416302229443863,3.6817604687363876,8.915653096511528,131,84,1,Medium
44,19.053296165161058,6.966765145827114,6.167388484860306,5.8588106986676465,91,29,9,Medium
20,2.8094414358538313,9.166865727872095,7.924286100548702,11.430880632296454,121,215,3,Medium
16,1.0440420237743089,1.8225785384150803,7.5332817151293,2.8257314836325094,62,120,3,Low
42,4.188771217367359,2.1749903547756957,3.304291292047468,2.399683543884496,104,80,5,Low
35,10.159618417733553,2.89544962455875,5.953065428041604,3.2430826191129727,125,160,9,Medium
15,2.289528891467422,2.8257095042759635,8.113351862449594,9.824448401466483,165,111,5,Low
26,12.815536725024081,3.4530585738080215,6.900620941905668,11.227697328273376,166,114,9,Medium
40,3.7952934016303996,5.968493533594387,3.3552079141164333,10.22476645229501,70,228,7,Medium
36,3.6597169857930854,0.7676398073984939,4.953792140664881,9.178320109318843,132,182,8,Low
43,3.359603501079442,4.13158965287977,,2.5758465807430135,81,164,10,Low
26,1.1817622686277418,2.8406587149796665,4.0359088512861865,4.138115905748073,1,151,6,Low
39,11.03347109021705,6.262983556500859,7.091484403210582,11.353790625954097,120,225,7,High
31,12.37544890618836,9.859108644989588,6.809078456190505,8.227930603638328,46,248,7,High
41,8.984115134010585,5.41771881574204,4.214665680972377,6.6832420745916945,96,244,5,Medium
41,3.44659976183821,4.544009771625121,6.302387788769418,8.523121069451118,109,159,6,Low
24,4.708613960231437,3.9983136788786036,7.870311335380725,3.7859376003514993,32,213,4,Medium
42,7.1870470657445225,7.957017579358648,5.248960198663088,10.928689621553996,174,89,7,Medium
42,13.40649737110291,1.1838188506819058,4.481919450002252,8.563036282170529,7,192,2,High
